"","SetID","P.value","N.Marker.All","N.Marker.Test"
"842","MIR6859-1\x3bMIR6859-2\x3bMIR6859-3\x3bMIR6859-4",1,1,0
"843","MKNK1",1,9,0
"844","MKNK1-AS1",1,4,0
"845","MMACHC",1,5,0
"846","MMEL1",1,17,0
"847","MMP23A",1,2,0
"848","MMP23B",1,1,0
"849","MNDA",1,3,0
"850","MOB3C",1,2,0
"851","MORN1",1,9,0
"852","MOV10",1,13,0
"853","MPC2",1,3,0
"854","MPL",1,6,0
"855","MPZ",1,3,0
"856","MPZL1",1,2,0
"857","MROH7",1,13,0
"858","MROH7-TTC4",1,7,0
"859","MROH9",1,8,0
"860","MRPL20",1,3,0
"861","MRPL24",1,2,0
"862","MRPL37",1,4,0
"863","MRPL9",1,2,0
"864","MRPS14",1,3,0
"865","MRPS15",1,7,0
"866","MRTO4",1,5,0
